"Gene"	"GC_content"	"Mean_transcript_length"
"224"	"1700018B24Rik"	40.26	593
"225"	"1700018F24Rik"	50.56	1122
"226"	"1700018G05Rik"	55.88	386
"227"	"1700018L02Rik"	51.99	2485
"228"	"1700018M17Rik"	76.06	456
"229"	"1700018P08Rik"	43.94	1239
"230"	"1700019A02Rik"	39.08	686
"231"	"1700019A23Rik"	54.59	196
"232"	"1700019C18Rik"	42.93	1074.33333333333
"233"	"1700019D03Rik"	40.79	1920.14285714286
"234"	"1700019E08Rik"	38.9	529.5
"235"	"1700019F05Rik"	40.51	533
"236"	"1700019G24Rik"	40.85	503
"237"	"1700019J19Rik"	44.89	1479.8
"238"	"1700019L13Rik"	55.41	2731
"239"	"1700019M22Rik"	44.63	354
"240"	"1700019N19Rik"	48.19	976.5
"241"	"1700019P21Rik"	48.24	411
"242"	"1700020A23Rik"	56.13	591.333333333333
"243"	"1700020D05Rik"	52.4	1021
"244"	"1700020D12Rik"	40.05	426
"245"	"1700020G03Rik"	61.87	889
"246"	"1700020G17Rik"	42.47	626.75
"247"	"1700020L24Rik"	52.04	756.5
"248"	"1700020M21Rik"	48.61	644
"249"	"1700020N01Rik"	43.46	628
"250"	"1700020N15Rik"	46.24	525
"251"	"1700020N18Rik"	54.91	547
"252"	"1700021A07Rik"	44.7	399.333333333333
"253"	"1700021F02Rik"	42.79	350
"254"	"1700021F05Rik"	48.5	1112.75
"255"	"1700021F07Rik"	50.93	646
"256"	"1700021F13Rik"	45.61	414.5
"257"	"1700021G15Rik"	44.05	528
"258"	"1700021J08Rik"	57.02	575
"259"	"1700021L23Rik"	48.96	726
"260"	"1700021N21Rik"	53.06	904
"261"	"1700021P04Rik"	44.46	659
"262"	"1700022A21Rik"	44.42	1249.5
"263"	"1700022A22Rik"	38.42	1042
"264"	"1700022E09Rik"	40.47	343
"265"	"1700022H01Rik"	45.8	387
"266"	"1700022H16Rik"	44.22	476
"267"	"1700022I11Rik"	45.11	1318.2
"268"	"1700022N22Rik"	50.62	736.333333333333
"269"	"1700023B13Rik"	59.46	1046
"270"	"1700023C21Rik"	42.79	389
"271"	"1700023F02Rik"	38.45	386
"272"	"1700023G09Rik"	39.25	884
"273"	"1700023H06Rik"	40.97	1044
"274"	"1700024B05Rik"	41.11	1574.5
"275"	"1700024B18Rik"	38.49	423
"276"	"1700024G13Rik"	47	850
"277"	"1700024I08Rik"	45.09	498.333333333333
"278"	"1700024J04Rik"	44.95	1821
"279"	"1700024P04Rik"	45.53	481
"280"	"1700025A08Rik"	62.56	609
"281"	"1700025B11Rik"	47.32	553
"282"	"1700025C18Rik"	48.47	702
"283"	"1700025D23Rik"	46.45	846
"284"	"1700025F24Rik"	44.07	894
"285"	"1700025G04Rik"	44.29	3428.5
"286"	"1700025H01Rik"	50.95	547
"287"	"1700025J12Rik"	48.19	630
"288"	"1700025K04Rik"	41.09	1174
"289"	"1700025K24Rik"	36.95	740
"290"	"1700025L06Rik"	51.18	1005.66666666667
"291"	"1700025M24Rik"	44.47	649
"292"	"1700025N21Rik"	52.2	686
"293"	"1700025N23Rik"	48.45	915
"294"	"1700025O08Rik"	35.33	456
"295"	"1700026D11Rik"	45.18	865
"296"	"1700026F02Rik"	42.67	694.4
"297"	"1700026J12Rik"	39.5	1141
"298"	"1700026J14Rik"	51.06	794
"299"	"1700026N04Rik"	47.4	643
"300"	"1700027A07Rik"	46.61	458
"301"	"1700027A15Rik"	43.89	425
"302"	"1700027F06Rik"	46.02	243
"303"	"1700027F09Rik"	45.33	767
"304"	"1700027H10Rik"	34.69	584
"305"	"1700027I24Rik"	39.51	657.5
"306"	"1700027J07Rik"	44.73	1360
"307"	"1700028B04Rik"	46.69	763
"308"	"1700028D13Rik"	51.73	616.5
"309"	"1700028E10Rik"	41.2	1428.16666666667
"310"	"1700028I16Rik"	47.05	1052
"311"	"1700028J19Rik"	48.44	1197
"312"	"1700028K03Rik"	40.94	2311.66666666667
"313"	"1700028M03Rik"	42.08	476
"314"	"1700028N14Rik"	50.24	747
"315"	"1700028P14Rik"	41.69	875
"316"	"1700028P15Rik"	44.32	1543
"317"	"1700029B22Rik"	45.17	654
"318"	"1700029B24Rik"	44.47	497
"319"	"1700029E06Rik"	35.54	757
"320"	"1700029F12Rik"	44.58	1025.66666666667
"321"	"1700029H14Rik"	50.75	1124.5
"322"	"1700029I15Rik"	55.53	564.5
"323"	"1700029J03Rik"	46.07	705.25
"324"	"1700029J07Rik"	40.88	1895.33333333333
"325"	"1700029M03Rik"	44.78	400.5
"326"	"1700029M20Rik"	50.76	1335.5
"327"	"1700029N11Rik"	43.51	744.333333333333
"328"	"1700029P11Rik"	51.86	1024
"329"	"1700030A11Rik"	51.43	888
"330"	"1700030C10Rik"	54.8633333333333	1110.66666666667
"331"	"1700030C12Rik"	51.39	590.75
"332"	"1700030C14Rik"	48.9	756
"333"	"1700030E10Rik"	45	721
"334"	"1700030F04Rik"	45.64	506.666666666667
"335"	"1700030I03Rik"	48.51	942
"336"	"1700030J22Rik"	49.4	2229
"337"	"1700030K09Rik"	47.57	1829.33333333333
"338"	"1700030L20Rik"	41.5	985
"339"	"1700030L22Rik"	42.42	635.5
"340"	"1700030M09Rik"	51.48	791
"341"	"1700030N03Rik"	41.22	1297.375
"342"	"1700030N18Rik"	49.48	966
"343"	"1700030O20Rik"	44.2	594
"344"	"1700031A10Rik"	43.28	656
"345"	"1700031F05Rik"	50.43	1125.5
"346"	"1700031F10Rik"	54.11	581
"347"	"1700031L13Rik"	36.82	726.5
"348"	"1700031M16Rik"	44.72	701.625
"349"	"1700031P21Rik"	40.18	406.333333333333
"350"	"1700034B16Rik"	51.97	722
"351"	"1700034E13Rik"	40.29	464.5
"352"	"1700034G24Rik"	49.72	1024.5
"353"	"1700034H15Rik"	48.97	1390.16666666667
"354"	"1700034I23Rik"	44.12	2348
"355"	"1700034J04Rik"	49.2	750
"356"	"1700034J05Rik"	43.28	2515
"357"	"1700034K08Rik"	40.76	502.75
"358"	"1700034P13Rik"	42.71	906.285714285714
"359"	"1700036A12Rik"	46.64	1091
"360"	"1700036G14Rik"	45.22	542
"361"	"1700036O09Rik"	28.08	349
"362"	"1700037C06Rik"	51.6	874
"363"	"1700037C18Rik"	48.1	965
"364"	"1700037F03Rik"	38.92	365
"365"	"1700037H04Rik"	51.25	1008.85714285714
"366"	"1700039E22Rik"	50.08	770
"367"	"1700039I01Rik"	59.29	479
"368"	"1700039M10Rik"	37.22	532
"369"	"1700039M15Rik"	42.48	1120
"370"	"1700040D17Rik"	39.49	998
"371"	"1700040E09Rik"	41.32	606
"372"	"1700040F15Rik"	36.89	931
"373"	"1700040F17Rik"	41.84	817
"374"	"1700040K01Rik"	45.21	438
"375"	"1700040L08Rik"	47.45	541
"376"	"1700041B01Rik"	59.19	503
"377"	"1700041C23Rik"	41.35	395
"378"	"1700041G16Rik"	46.87	1141
"379"	"1700041I07Rik"	45.83	435
"380"	"1700041M05Rik"	48.34	306
"381"	"1700041M19Rik"	39.23	813.6
"382"	"1700042D02Rik"	41.15	389
"383"	"1700042G07Rik"	51.69	385
"384"	"1700042G15Rik"	51.15	448.333333333333
"385"	"1700042O05Rik"	40.01	584
"386"	"1700042O10Rik"	44.82	1075
"387"	"1700044C05Rik"	44.47	898
"388"	"1700044K03Rik"	44.01	377
"389"	"1700045H11Rik"	45.57	593
"390"	"1700045I11Rik"	60.24	493
"391"	"1700046C09Rik"	37.27	543
"392"	"1700047A11Rik"	40.12	524.5
"393"	"1700047E10Rik"	41.61	568
"394"	"1700047F07Rik"	47.45	445.75
"395"	"1700047G03Rik"	46.38	759.5
"396"	"1700047G07Rik"	42.2	646.5
"397"	"1700047K16Rik"	56.47	886
"398"	"1700047L14Rik"	41.08	511
"399"	"1700047M11Rik"	45.19	1645.5
"400"	"1700047N06Rik"	38.8	920
"401"	"1700047O18Rik"	42.93	743
"402"	"1700048F04Rik"	43.74	1064
"403"	"1700048M11Rik"	48.04	485
"404"	"1700048O14Rik"	42.32	521
"405"	"1700048O20Rik"	42.68	1332.66666666667
"406"	"1700048P04Rik"	43.11	369
"407"	"1700049E15Rik"	42.03	743.5
"408"	"1700049E17Rik1"	39.81	1761
"409"	"1700049E17Rik2"	39.85	1124.5
"410"	"1700049E22Rik"	47.95	507
"411"	"1700049L16Rik"	50.09	543
"412"	"1700051A21Rik"	52.3	1437.5
"413"	"1700051K13Rik"	41.09	696
"414"	"1700051O22Rik"	55.64	634
"415"	"1700052H01Rik"	44.63	573
"416"	"1700052I22Rik"	47.74	379
"417"	"1700052K11Rik"	48.89	3708
"418"	"1700054A03Rik"	45.88	1505.85714285714
"419"	"1700054K02Rik"	47.07	376
"420"	"1700054K19Rik"	43.27	452
"421"	"1700054M17Rik"	48.11	445
"422"	"1700054O05Rik"	37.82	555
"423"	"1700054O19Rik"	47.24	868
"424"	"1700055C04Rik"	48.15	355
"425"	"1700055D18Rik"	49.33	2645
"426"	"1700056E22Rik"	62.89	1119.5
"427"	"1700056N10Rik"	45.73	1043
"428"	"1700057G04Rik"	37.99	713
"429"	"1700057H15Rik"	48.13	525.75
"430"	"1700057H21Rik"	39.27	444.5
"431"	"1700058P15Rik"	50.08	413
"432"	"1700060C16Rik"	43.34	645
"433"	"1700060C20Rik"	51.76	605
"434"	"1700060J05Rik"	44.55	1060
"435"	"1700060O08Rik"	45.33	281
"436"	"1700061A03Rik"	53.63	455
"437"	"1700061E17Rik"	50.44	1067
"438"	"1700061E18Rik"	49.26	588
"439"	"1700061F12Rik"	38.13	876
"440"	"1700061H18Rik"	42.38	599
"441"	"1700061I17Rik"	40.55	1962
"442"	"1700061J23Rik"	40.61	537
"443"	"1700061N14Rik"	45.74	463
"444"	"1700062C10Rik"	39.96	822.333333333333
"445"	"1700063A18Rik"	36.14	356
"446"	"1700063D05Rik"	45.77	725.6
"447"	"1700063H04Rik"	51.18	817
"448"	"1700063H06Rik"	34.98	445
"449"	"1700063I16Rik"	48.12	611
"450"	"1700063J08Rik"	55.42	554
"451"	"1700063K16Rik"	37.64	660.5
"452"	"1700063O14Rik"	46.08	492
"453"	"1700064H15Rik"	42.77	394
"454"	"1700064J06Rik"	45.72	386
"455"	"1700064M15Rik"	45.53	645
"456"	"1700065D16Rik"	52.19	1622.2
"457"	"1700065I16Rik"	51.24	678
"458"	"1700065J11Rik"	46.74	424
"459"	"1700065J18Rik"	47.69	367.5
"460"	"1700065L07Rik"	41.37	614
"461"	"1700065O20Rik"	41.02	710
"462"	"1700066B17Rik"	47.12	492.666666666667
"463"	"1700066B19Rik"	47.25	2067
"464"	"1700066C05Rik"	47.74	407
"465"	"1700066J03Rik"	45.95	463.666666666667
"466"	"1700066M21Rik"	41.03	1297.66666666667
"467"	"1700066N21Rik"	37.15	783
"468"	"1700066O22Rik"	40.7	654.2
"469"	"1700067G17Rik"	43.54	603
"470"	"1700067K01Rik"	53.35	1065.2
"471"	"1700067P10Rik"	48.69	1089
"472"	"1700069B07Rik"	61.98	881
"473"	"1700069L16Rik"	49.09	618.666666666667
"474"	"1700069P05Rik"	49.89	785
"475"	"1700071G01Rik"	48.34	367
"476"	"1700071K01Rik"	54.58	819
"477"	"1700071M16Rik"	44.11	1088.25
"478"	"1700072B07Rik"	49.1	445
"479"	"1700072G22Rik"	42.6	548
"480"	"1700072O05Rik"	46.35	321
"481"	"1700073E17Rik"	45.6	733
"482"	"1700074A21Rik"	39.31	346
"483"	"1700074H08Rik"	42.09	555
"484"	"1700074P13Rik"	39.23	1326
"485"	"1700080C20Rik"	48.6	186
"486"	"1700080N15Rik"	41.41	722
"487"	"1700080O16Rik"	48.21	1343
"488"	"1700081B01Rik"	44.64	479
"489"	"1700081H04Rik"	47.12	1128
"490"	"1700081N11Rik"	57.79	538
"491"	"1700082M22Rik"	41.81	1265.5
"492"	"1700083H02Rik"	42.37	637
"493"	"1700084C06Rik"	50.1	750
"494"	"1700084D21Rik"	43.14	444
"495"	"1700084E18Rik"	62.14	1079
"496"	"1700084F23Rik"	44.67	670.6
"497"	"1700084J12Rik"	47.49	1363
"498"	"1700084M14Rik"	43.87	559
"499"	"1700085C21Rik"	45.92	1082
"500"	"1700085D07Rik"	42.61	318
"501"	"1700086D15Rik"	45.25	1092
"502"	"1700086L19Rik"	43.49	843
"503"	"1700086O06Rik"	48.12	827.166666666667
"504"	"1700086P04Rik"	46.51	1009
"505"	"1700087I21Rik"	41.32	2234
"506"	"1700087M22Rik"	40.7	208
"507"	"1700088E04Rik"	51.71	965
"508"	"1700091H14Rik"	44.63	989
"509"	"1700092C02Rik"	41.37	359
"510"	"1700092C10Rik"	42.81	585
"511"	"1700092C17Rik"	44.4	347
"512"	"1700092E16Rik"	48.07	753
"513"	"1700092E19Rik"	38.15	1116.5
"514"	"1700092K14Rik"	54.67	395
"515"	"1700092M07Rik"	54.53	421.5
"516"	"1700093J21Rik"	49.02	647
"517"	"1700093K21Rik"	44.34	949
"518"	"1700094D03Rik"	44.47	1861
"519"	"1700094J05Rik"	46.11	682.5
"520"	"1700094M23Rik"	43.94	685
"521"	"1700094M24Rik"	42.81	665
"522"	"1700095A13Rik"	44.85	1139.57142857143
"523"	"1700095A21Rik"	38.39	1069
"524"	"1700095B10Rik"	49.08	807
"525"	"1700095J03Rik"	44.46	1808
"526"	"1700095J07Rik"	45	989
"527"	"1700095J12Rik"	47.94	737
"528"	"1700095K22Rik"	41.72	282
"529"	"1700096J18Rik"	47.59	482
"530"	"1700096K18Rik"	42.98	1454
"531"	"1700097M23Rik"	38.7	1522
"532"	"1700097N02Rik"	47.05	845
"533"	"1700099I09Rik"	43.54	723
"534"	"1700100I10Rik"	38.52	736
"535"	"1700100L14Rik"	47.94	725
"536"	"1700101I11Rik"	48.5	1382
"537"	"1700101I19Rik"	61.18	450
"538"	"1700101O22Rik"	39.77	339
"539"	"1700102F20Rik"	45.37	670
"540"	"1700102H20Rik"	39.77	433.5
"541"	"1700102P08Rik"	45.86	879.5
"542"	"1700104B16Rik"	46.19	646
"543"	"1700104L18Rik"	43.03	598
"544"	"1700105G05Rik"	38.85	411
"545"	"1700105P06Rik"	62.93	1025
"546"	"1700106O07Rik"	41.01	439
"547"	"1700108F19Rik"	45.89	890.625
"548"	"1700108J01Rik"	42.21	484
"549"	"1700108N06Rik"	36.18	681
"550"	"1700108N11Rik"	59.53	917
"551"	"1700109G14Rik"	46.19	679.666666666667
"552"	"1700109G15Rik"	40.79	384
"553"	"1700109H08Rik"	43.13	873
"554"	"1700109I08Rik"	38.5	396
"555"	"1700109K24Rik"	43.76	1037.5
"556"	"1700110C19Rik"	48.02	698.5
"557"	"1700110I01Rik"	43.35	865.833333333333
"558"	"1700110I07Rik"	41.38	585
"559"	"1700110K17Rik"	48.89	832
"560"	"1700111E14Rik"	41.4	908
"561"	"1700111N16Rik"	39.16	1133
"562"	"1700112D23Rik"	42.21	422.5
"563"	"1700112H15Rik"	42.82	778
"564"	"1700112J05Rik"	44.3	793
"565"	"1700112J16Rik"	47.62	1288
"566"	"1700112K13Rik"	40.76	701
"567"	"1700112L15Rik"	51.96	510
"568"	"1700112M02Rik"	41.84	348
"569"	"1700113A16Rik"	47.67	775.333333333333
"570"	"1700113B09Rik"	44.31	577.333333333333
"571"	"1700113B19Rik"	42.86	420
"572"	"1700113H08Rik"	41.44	1034.66666666667
"573"	"1700116B05Rik"	48.61	365
"574"	"1700116H05Rik"	44.75	1583.66666666667
"575"	"1700119H24Rik"	52.42	588
"576"	"1700119I11Rik"	44.05	296
"577"	"1700120B22Rik"	52.58	464
"578"	"1700120C14Rik"	49.65	635.75
"579"	"1700120C18Rik"	42.18	985
"580"	"1700120E14Rik"	46.2	765.5
"581"	"1700120G07Rik"	45.29	635.5
"582"	"1700120G11Rik"	39.29	491
"583"	"1700120K04Rik"	56.04	546
"584"	"1700120O09Rik"	46.41	977
"585"	"1700121C08Rik"	47.17	677
"586"	"1700121L03Rik"	39.88	704
"587"	"1700121L16Rik"	39.6	561
"588"	"1700121N20Rik"	47.49	1027
"589"	"1700122C19Rik"	44.85	3614.5
"590"	"1700122D07Rik"	46.34	421
"591"	"1700122E12Rik"	49.92	428
"592"	"1700122H20Rik"	44.04	421
"593"	"1700122O11Rik"	50.61	771
"594"	"1700123J17Rik"	46.21	1805
"595"	"1700123K08Rik"	50.37	1047
"596"	"1700123L14Rik"	50.26	1747
"597"	"1700123M08Rik"	43.6	584
"598"	"1700123O12Rik"	40.66	562.5
"599"	"1700123O20Rik"	47.44	980.5
"600"	"1700123O21Rik"	42.9	677
"601"	"1700124L16Rik"	48.29	668.333333333333
"602"	"1700124M09Rik"	42.06	305
"603"	"1700125G02Rik"	52.27	519
"604"	"1700125G22Rik"	44.86	861
"605"	"1700125H03Rik"	45.54	572.5
"606"	"1700125H20Rik"	46.53	826.5
"607"	"1700126A01Rik"	47.26	2061
"608"	"1700126G02Rik"	43.59	725
"609"	"1700126H18Rik"	45.26	405
"610"	"1700127F24Rik"	51.82	431.5
"611"	"1700128A07Rik"	42.45	572
"612"	"1700128E19Rik"	48.17	2439
"613"	"1700128F08Rik"	41.4	913.5
"614"	"1700128I11Rik"	52.01	1166
"615"	"1700129C05Rik"	41.89	685.5
"616"	"1700129L04Rik"	41.95	1206.5
"617"	"1810006J02Rik"	39.92	1105
"618"	"1810007C17Rik"	33.47	710
"619"	"1810007D17Rik"	42.55	742
"620"	"1810008B01Rik"	54.22	829
"621"	"1810008I18Rik"	48.82	1619
"622"	"1810009A15Rik"	47.31	742.6
"623"	"1810009J06Rik"	36.91	882
"624"	"1810010H24Rik"	52.26	1388.5
"625"	"1810010K12Rik"	48.99	1266
"626"	"1810012K08Rik"	55.91	574
"627"	"1810012K16Rik"	47.49	547
"628"	"1810013D15Rik"	43.11	908.75
"629"	"1810013L24Rik"	40.85	2658.5
