"Gene"	"GC_content"	"Mean_transcript_length"
"67"	"ABCB8"	57.04	1541.63636363636
"68"	"ABCB9"	52.47	2181.09523809524
"69"	"ABCC1"	48.4753333333333	2977.06666666667
"70"	"ABCC10"	52.94	1900.2
"71"	"ABCC11"	45.62	2859.55555555556
"72"	"ABCC12"	47.26	2744.07692307692
"73"	"ABCC13"	36.49	2555.5
"74"	"ABCC2"	45.05	1611
"75"	"ABCC3"	51.95	1655.72222222222
"76"	"ABCC4"	42.34	2712.5
"77"	"ABCC5"	44.68	2488.69230769231
"78"	"ABCC5-AS1"	42.17	469
"79"	"ABCC6"	49.86	2816.18181818182
"80"	"ABCC6P1"	47.92	1371.75
"81"	"ABCC6P2"	49.25	669.333333333333
"82"	"ABCC8"	50.02	3172.88679245283
"83"	"ABCC9"	36.12	3187.42857142857
"84"	"ABCD1"	58.35	1784.33333333333
"85"	"ABCD1P2"	61.28	1601
"86"	"ABCD1P3"	60.81	605
"87"	"ABCD1P4"	61.11	604
"88"	"ABCD1P5"	60.81	754
"89"	"ABCD2"	34.96	6290
"90"	"ABCD3"	37.07	2407.28571428571
"91"	"ABCD4"	51.39	1103.03703703704
"92"	"ABCE1"	34.74	1326.7
"93"	"ABCF1"	47.9613793103448	1920.68965517241
"94"	"ABCF2"	48.4383333333333	1596.83333333333
"95"	"ABCF2P1"	49.76	1867
"96"	"ABCF2P2"	49.27	296
"97"	"ABCF3"	51.95	1153.33333333333
"98"	"ABCG1"	51.02	2492.4
"99"	"ABCG2"	41.38	2921
"100"	"ABCG4"	54.46	2248.83333333333
"101"	"ABCG5"	45.18	2800.25
"102"	"ABCG8"	46.22	4083
"103"	"ABHD1"	50.81	1361.625
"104"	"ABHD10"	35.85	1271.6
"105"	"ABHD11"	59.95	921.857142857143
"106"	"ABHD11-AS1"	61.73	510
"107"	"ABHD12"	47.38	1099.33333333333
"108"	"ABHD12B"	42.93	1299.77777777778
"109"	"ABHD13"	35.41	5313
"110"	"ABHD14A"	54.78	890.833333333333
"111"	"ABHD14A-ACY1"	55.64	1921.06896551724
"112"	"ABHD14B"	55.05	1574.75
"113"	"ABHD15"	52.6	3492
"114"	"ABHD15-AS1"	48.97	187
"115"	"ABHD16A"	50.3288888888889	1151.52777777778
"116"	"ABHD16B"	69.89	1491
"117"	"ABHD17A"	65.16	2546.33333333333
"118"	"ABHD17AP1"	67.31	933
"119"	"ABHD17AP3"	66.83	1137
"120"	"ABHD17AP4"	67.29	909
"121"	"ABHD17AP5"	67.65	923
"122"	"ABHD17AP6"	42.75	1044
"123"	"ABHD17AP7"	67.02	595
"124"	"ABHD17AP8"	67.13	574
"125"	"ABHD17AP9"	66.89	548
"126"	"ABHD17B"	37.98	1963
"127"	"ABHD17C"	42.95	1604.2
"128"	"ABHD18"	39.8	2826.28571428571
"129"	"ABHD2"	44.01	1573.3
"130"	"ABHD3"	42.44	1199.7
"131"	"ABHD4"	48.25	936.9
"132"	"ABHD5"	40.26	1766.75
"133"	"ABHD6"	45.09	1083.71428571429
"134"	"ABHD8"	54.9	1055.66666666667
"135"	"ABI1"	38.44	3072.61538461538
"136"	"ABI1P1"	43.66	1120
"137"	"ABI2"	39.5	2554.45833333333
"138"	"ABI3"	54.01	1255.75
"139"	"ABI3BP"	37.02	1601.53846153846
"140"	"ABITRAM"	38.71	837.5
"141"	"ABITRAMP1"	42.33	541
"142"	"ABL1"	44.57	3621.33333333333
"143"	"ABL2"	41.31	3269.13333333333
"144"	"ABLIM1"	42.03	2879.35294117647
"145"	"ABLIM2"	54	2094
"146"	"ABLIM3"	44.42	2410.83333333333
"147"	"ABO"	49.3814285714286	1795.28571428571
"148"	"ABR"	55.893829787234	1204.63829787234
"149"	"ABRA"	40.24	2754
"150"	"ABRACL"	44.13	619
"151"	"ABRAXAS1"	42.23	1689.55555555556
"152"	"ABRAXAS2"	42.6	2955
"153"	"ABT1"	47.72	2943
"154"	"ABT1P1"	56.27	821
"155"	"ABTB1"	60.37	1413.28571428571
"156"	"ABTB2"	47.92	2735.5
"157"	"ACAA1"	51.46	1312.68421052632
"158"	"ACAA2"	39.53	1453.85714285714
"159"	"ACACA"	41.28	2710.96428571429
"160"	"ACACB"	46.78	2713.57142857143
"161"	"ACAD10"	47.12	1360.33333333333
"162"	"ACAD11"	37.44	1878.7
"163"	"ACAD8"	47.88	1443.25
"164"	"ACAD9"	49.2	1493.83333333333
"165"	"ACADL"	36.54	1738.4
"166"	"ACADM"	40.45	1200.44444444444
"167"	"ACADS"	55.41	1466.33333333333
"168"	"ACADSB"	40.73	2135.75
"169"	"ACADVL"	58.51	868.820512820513
"170"	"ACAN"	50.26	5946
"171"	"ACAP1"	54.55	1069.41666666667
"172"	"ACAP2"	38.17	1347.5
"173"	"ACAP2-IT1"	33.33	690
"174"	"ACAP3"	67.29	1680.46153846154
"175"	"ACAT1"	43.08	1056.31818181818
"176"	"ACAT2"	43.61	1339
"177"	"ACBD3"	41.45	1939
"178"	"ACBD3-AS1"	41.24	535
"179"	"ACBD4"	54.45	1302.3125
"180"	"ACBD5"	40.95	2611.375
"181"	"ACBD6"	37.67	2384.375
"182"	"ACBD7"	45.19	1922
"183"	"ACCS"	49.01	1054.76923076923
"184"	"ACCSL"	47.51	1813
"185"	"ACD"	62.02	1241.06666666667
"186"	"ACE"	58.35	1552.5
"187"	"ACE2"	38.39	1845.8
"188"	"ACE3P"	52.6	1973
"189"	"ACER1"	49.82	1428
"190"	"ACER2"	43.41	2773
"191"	"ACER3"	38.74	1663.85714285714
"192"	"ACHE"	64.49	1718.28571428571
"193"	"ACIN1"	45.36	1843.17391304348
"194"	"ACKR1"	54.48	1371.5
"195"	"ACKR2"	44.24	1150.09090909091
"196"	"ACKR3"	50.01	1364
"197"	"ACKR4"	37.17	1367
"198"	"ACKR4P1"	41.5	1053
"199"	"ACLY"	49.89	2253.9
"200"	"ACMSD"	39.51	1255.75
"201"	"ACNATP"	44.51	1225
"202"	"ACO1"	41.71	4887.33333333333
"203"	"ACO2"	50.27	1227
"204"	"ACOD1"	43.54	2122
"205"	"ACOT1"	49.34	1478.5
"206"	"ACOT11"	51.2	3058.2
"207"	"ACOT12"	40.73	1032.5
"208"	"ACOT13"	41.43	3055
"209"	"ACOT2"	48.61	1381.4
"210"	"ACOT4"	48.17	2362
"211"	"ACOT6"	47.45	1081.33333333333
"212"	"ACOT7"	54	1514.7
"213"	"ACOT8"	49.07	1254.46153846154
"214"	"ACOT9"	44.6	1711.625
"215"	"ACOX1"	44.18	1492.69230769231
"216"	"ACOX2"	47.21	930.384615384615
"217"	"ACOX3"	51.93	1505.5
"218"	"ACOXL"	42.65	1200.3
"219"	"ACOXL-AS1"	39.99	2113
"220"	"ACP1"	42.67	814.461538461538
"221"	"ACP2"	52.75	1217.46666666667
"222"	"ACP4"	58.02	1342
"223"	"ACP5"	58.59	794.538461538462
"224"	"ACP6"	43.65	1977.4
"225"	"ACP7"	49.67	1918.75
"226"	"ACPP"	40.39	1059.88888888889
"227"	"ACR"	55.52	888.25
"228"	"ACRBP"	51.64	970.222222222222
"229"	"ACRV1"	41.85	1138.5
"230"	"ACSBG1"	48.23	1424.76923076923
"231"	"ACSBG2"	45.82	1381.69230769231
"232"	"ACSF2"	49.96	862.4
"233"	"ACSF3"	55.16	1959.52631578947
"234"	"ACSL1"	44.71	2700.41666666667
"235"	"ACSL3"	39.46	1289.18181818182
"236"	"ACSL3-AS1"	33.54	537
"237"	"ACSL4"	39.16	2909.46666666667
"238"	"ACSL5"	42.89	2025.625
"239"	"ACSL6"	48.14	2639.48484848485
"240"	"ACSL6-AS1"	52.11	923
"241"	"ACSM1"	40.48	1477
"242"	"ACSM2A"	40.51	1588.375
"243"	"ACSM2B"	39.17	1412.15789473684
"244"	"ACSM3"	41.08	1072.66666666667
"245"	"ACSM4"	40.4	1426
"246"	"ACSM5"	42.36	1008.42857142857
"247"	"ACSM5P1"	43.82	2438
"248"	"ACSM6"	39.78	1736.75
"249"	"ACSS1"	52	3318
"250"	"ACSS2"	45.42	1000.66666666667
"251"	"ACSS3"	35.63	2501.2
"252"	"ACTA1"	62.54	1306.5
"253"	"ACTA2"	40.29	895.333333333333
"254"	"ACTA2-AS1"	43.42	1186.5
"255"	"ACTB"	56.7	943.705882352941
"256"	"ACTBL2"	40.23	2794
"257"	"ACTBP1"	54.9	1113
"258"	"ACTBP11"	57.82	1126
"259"	"ACTBP12"	55.5	418
"260"	"ACTBP13"	56.66	3959
"261"	"ACTBP14"	56.75	1089
"262"	"ACTBP2"	58.33	1123
"263"	"ACTBP6"	50.28	1090
"264"	"ACTBP7"	57.3	1124
"265"	"ACTBP8"	58.21	1108
"266"	"ACTBP9"	58.05	1099
"267"	"ACTC1"	47.22	1054.16666666667
"268"	"ACTG1"	61.09	1395.4375
"269"	"ACTG1P1"	54.38	1129
"270"	"ACTG1P10"	56.65	1082
"271"	"ACTG1P11"	55.02	1125
"272"	"ACTG1P12"	56.43	1166
"273"	"ACTG1P13"	40.94	1043
"274"	"ACTG1P14"	57.31	1122
"275"	"ACTG1P15"	53.9	1063
"276"	"ACTG1P16"	57.12	1082
"277"	"ACTG1P17"	44.11	1106
"278"	"ACTG1P18"	51.88	1143
"279"	"ACTG1P19"	56.99	1116
"280"	"ACTG1P2"	55.02	1125
"281"	"ACTG1P20"	55.56	468
"282"	"ACTG1P21"	56.4	1000
"283"	"ACTG1P22"	41.68	979
"284"	"ACTG1P23"	57.26	1074
"285"	"ACTG1P24"	55.99	877
"286"	"ACTG1P3"	55.12	1114
"287"	"ACTG1P4"	54.63	1122
"288"	"ACTG1P9"	50.15	2658
"289"	"ACTG2"	45.18	1130.22222222222
"290"	"ACTL10"	68.04	1583
"291"	"ACTL6A"	39.25	874.357142857143
"292"	"ACTL6B"	53.08	848.666666666667
"293"	"ACTL7A"	57.08	1491
"294"	"ACTL7B"	63.4	1399
"295"	"ACTL8"	48.15	1755.5
"296"	"ACTL9"	66.19	1324
"297"	"ACTN1"	50.81	1544.66666666667
"298"	"ACTN1-AS1"	47.31	541.5
"299"	"ACTN2"	42.49	2460.07692307692
"300"	"ACTN3"	56.48	2223.33333333333
"301"	"ACTN4"	53	1565
"302"	"ACTN4P1"	60.51	1451
"303"	"ACTN4P2"	51	1892
"304"	"ACTP1"	53.52	383
"305"	"ACTR10"	38.67	940.75
"306"	"ACTR1A"	50.48	1691.71428571429
"307"	"ACTR1B"	58.52	1361.66666666667
"308"	"ACTR2"	39.48	1823.2
"309"	"ACTR3"	36.57	2384.14285714286
"310"	"ACTR3B"	43.36	2266.6
"311"	"ACTR3BP1"	42.16	1247
"312"	"ACTR3BP2"	42.46	1373
"313"	"ACTR3BP3"	40.45	979
"314"	"ACTR3BP4"	43.29	1244
"315"	"ACTR3BP5"	42.66	1479
"316"	"ACTR3BP6"	42.59	1241
"317"	"ACTR3C"	43.31	2301.16666666667
"318"	"ACTR3P2"	40.25	1257
"319"	"ACTR3P3"	40.87	893
"320"	"ACTR5"	44.81	2547
"321"	"ACTR6"	41	1196.92307692308
"322"	"ACTR6P1"	36.05	1104
"323"	"ACTR8"	41.99	1463.33333333333
"324"	"ACTRT1"	48.78	1437
"325"	"ACTRT2"	61.66	1437
"326"	"ACTRT3"	48.16	1671
"327"	"ACVR1"	40.44	2007.18181818182
"328"	"ACVR1B"	44.8	1869.85714285714
"329"	"ACVR1C"	36.82	3352.5
"330"	"ACVR2A"	35.46	2237.14285714286
"331"	"ACVR2B"	47.63	6272.66666666667
"332"	"ACVR2B-AS1"	56.48	2517
"333"	"ACVRL1"	54.84	1582.125
"334"	"ACY1"	57.27	1083.93103448276
"335"	"ACY3"	57.66	1152
"336"	"ACYP1"	41.68	638.166666666667
"337"	"ACYP2"	40.31	1068.66666666667
"338"	"ADA"	53.46	1046.44444444444
"339"	"ADA2"	48.88	2100.16666666667
"340"	"ADAD1"	36.55	1244
"341"	"ADAD1P2"	39.63	646
"342"	"ADAD2"	58.6	1479.5
"343"	"ADAL"	39.86	1956.75
"344"	"ADAM10"	37.34	1671.125
"345"	"ADAM11"	59.33	2972.8
"346"	"ADAM12"	43.11	2049.42857142857
"347"	"ADAM15"	58.25	1709.09375
"348"	"ADAM17"	41.31	2893.5625
"349"	"ADAM18"	34.425	1342.4375
"350"	"ADAM19"	44.66	3033.8
"351"	"ADAM1A"	46.64	2129
"352"	"ADAM1B"	40.75	2000
"353"	"ADAM2"	35.025	1838.16666666667
"354"	"ADAM20"	37.22	2787.5
"355"	"ADAM20P1"	40.64	2127
"356"	"ADAM20P2"	38.96	1273
"357"	"ADAM20P3"	45.01	2106
"358"	"ADAM21"	39.73	2647
"359"	"ADAM21P1"	45.22	2109.5
"360"	"ADAM22"	37.29	3029.81818181818
"361"	"ADAM23"	38.27	3169.33333333333
"362"	"ADAM24P"	43.12	2101
"363"	"ADAM28"	35.71	1542
"364"	"ADAM29"	35.73	1830.14285714286
"365"	"ADAM30"	43.98	2983
"366"	"ADAM32"	37.695	1690.27272727273
"367"	"ADAM33"	61.2	3050.85714285714
"368"	"ADAM3A"	34.99	1972.11111111111
"369"	"ADAM3B"	36.9	840
"370"	"ADAM5"	35.69	1134
"371"	"ADAM6"	48.33	1421
"372"	"ADAM7"	36.76	2503
"373"	"ADAM8"	63.79	1375.90909090909
"374"	"ADAM9"	36.28	2034.76923076923
"375"	"ADAMDEC1"	36.35	1736.5
"376"	"ADAMTS1"	45.12	2109.66666666667
"377"	"ADAMTS10"	54.58	1758.78571428571
"378"	"ADAMTS12"	40.488	2071.1
"379"	"ADAMTS13"	55.14	3165.44444444444
"380"	"ADAMTS14"	52.96	5413
"381"	"ADAMTS15"	51.65	5673
"382"	"ADAMTS16"	42.24	2768.75
"383"	"ADAMTS17"	46.61	1529.88888888889
"384"	"ADAMTS18"	39.74	1276.88888888889
"385"	"ADAMTS19"	34.94	1799.75
"386"	"ADAMTS19-AS1"	37.69	1944.5
"387"	"ADAMTS2"	53.88	2874.6
"388"	"ADAMTS20"	35.38	4590.33333333333
"389"	"ADAMTS3"	35.8	3147.5
"390"	"ADAMTS4"	51.47	4028.33333333333
"391"	"ADAMTS5"	38.46	6607
"392"	"ADAMTS6"	35.91	2914.5
"393"	"ADAMTS7"	56.02	3062
"394"	"ADAMTS7P1"	57.275	1924.66666666667
"395"	"ADAMTS7P3"	61.54	1959.5
"396"	"ADAMTS7P4"	47.02	1059.83333333333
"397"	"ADAMTS8"	53.31	2939
"398"	"ADAMTS9"	40.09	3298.7
"399"	"ADAMTS9-AS1"	39.06	1016.90476190476
"400"	"ADAMTS9-AS2"	39.79	2176.6
"401"	"ADAMTSL1"	38.59	2391.33333333333
"402"	"ADAMTSL2"	59.43	3984.5
"403"	"ADAMTSL3"	39.81	2978.5
"404"	"ADAMTSL4"	60.13	3362.375
"405"	"ADAMTSL4-AS1"	48.94	1146.66666666667
"406"	"ADAMTSL4-AS2"	61.01	665
"407"	"ADAMTSL5"	60.93	1047.09090909091
"408"	"ADAP1"	60.61	1334.47368421053
"409"	"ADAP2"	48.03	1098.27272727273
"410"	"ADAR"	45.36	3899.2380952381
"411"	"ADARB1"	45.43	3137.33333333333
"412"	"ADARB2"	47.83	2111.28571428571
"413"	"ADARB2-AS1"	52	631
"414"	"ADAT1"	44.65	924.5
"415"	"ADAT2"	38.38	4473
"416"	"ADAT3"	60.26	1291
"417"	"ADCK1"	47.62	1660
"418"	"ADCK2"	50.77	1553.2
"419"	"ADCK5"	57.52	1006.875
"420"	"ADCY1"	47.64	3593.2
"421"	"ADCY10"	41.76	3723.8
"422"	"ADCY10P1"	40.57	2977
"423"	"ADCY2"	40.93	2677.125
"424"	"ADCY3"	50.99	1586.61538461538
"425"	"ADCY4"	54.43	1860.38888888889
"426"	"ADCY5"	51.27	1936.7
"427"	"ADCY6"	54.36	3021.55555555556
"428"	"ADCY6-DT"	60.48	456
"429"	"ADCY7"	54.43	2366.375
"430"	"ADCY8"	40.42	2904
"431"	"ADCY9"	47.27	2163.5
"432"	"ADCYAP1"	52.94	2270.25
"433"	"ADCYAP1R1"	51.89	2743.71428571429
"434"	"ADD1"	44.84	2009.62068965517
"435"	"ADD2"	44.81	2359.07692307692
"436"	"ADD3"	38.65	1041.9
"437"	"ADD3-AS1"	41.95	2402.4
"438"	"ADGB"	35.78	1961.58333333333
"439"	"ADGRA1"	60.33	4575
"440"	"ADGRA1-AS1"	63.35	2597.4
"441"	"ADGRA2"	55.25	4595
"442"	"ADGRA3"	39.05	1609
"443"	"ADGRB1"	62.67	4611.5
"444"	"ADGRB2"	58.75	3125.8
"445"	"ADGRB3"	35.14	2941.6
"446"	"ADGRD1"	51.87	2143.3125
"447"	"ADGRD1-AS1"	48.32	1157
"448"	"ADGRD2"	55.3	1533.71428571429
"449"	"ADGRE1"	44.41	2089
"450"	"ADGRE2"	46.7	2304
"451"	"ADGRE3"	43.9	1834.4
"452"	"ADGRE4P"	43.07	2642.75
"453"	"ADGRE5"	54.66	1025.625
"454"	"ADGRF1"	40.34	2252.07692307692
"455"	"ADGRF2"	40.38	3797.75
"456"	"ADGRF3"	45.62	2750.3
"457"	"ADGRF4"	41.3	3092.33333333333
"458"	"ADGRF5"	41.65	3146.5
"459"	"ADGRF5-AS1"	39.12	781
"460"	"ADGRF5P1"	46.44	1057.5
"461"	"ADGRF5P2"	42.79	1659
"462"	"ADGRG1"	55.51	1135.31343283582
"463"	"ADGRG2"	42.96	4682.81818181818
"464"	"ADGRG3"	52.35	1465.85714285714
"465"	"ADGRG4"	39.12	9574.66666666667
"466"	"ADGRG5"	47.09	2165.71428571429
"467"	"ADGRG6"	35.7	2532
"468"	"ADGRG7"	38.02	1665.6
"469"	"ADGRL1"	56.42	2162.25
"470"	"ADGRL2"	36.78	3658.36363636364
"471"	"ADGRL3"	35.25	4652.5
"472"	"ADGRL3-AS1"	36.07	495
"473"	"ADGRL4"	35.25	1719.8125
"474"	"ADGRV1"	37.22	3053.78378378378
"475"	"ADH1A"	35.59	1122.66666666667
"476"	"ADH1B"	36.47	2982.85714285714
"477"	"ADH1C"	35.58	867.75
"478"	"ADH4"	37.53	1071.66666666667
"479"	"ADH5"	40.37	1019.46153846154
"480"	"ADH5P2"	44.93	1124
"481"	"ADH5P3"	46.35	1137
"482"	"ADH5P4"	45.86	1110
"483"	"ADH6"	37.38	1438.25
"484"	"ADH7"	37.02	1449.16666666667
"485"	"ADHFE1"	43.48	1232.3125
"486"	"ADI1"	44.72	2151.75
"487"	"ADI1P1"	46.28	538
"488"	"ADI1P2"	45.25	429
"489"	"ADI1P3"	33.64	470
"490"	"ADIG"	50.47	660.25
"491"	"ADIPOQ"	43.85	4570.5
"492"	"ADIPOQ-AS1"	46.98	3443
"493"	"ADIPOR1"	44.28	1450.6
"494"	"ADIPOR1P1"	48.48	1074
"495"	"ADIPOR1P2"	50.98	820
"496"	"ADIPOR2"	39.4	1031.28571428571
"497"	"ADIRF"	49.56	518.666666666667
"498"	"ADIRF-AS1"	59.28	2289
"499"	"ADK"	37.43	1512.15384615385
"500"	"ADM"	58.97	1192.25
"501"	"ADM2"	63.62	4244.5
"502"	"ADM5"	63.65	1718
"503"	"ADNP"	41.67	4811
"504"	"ADNP-AS1"	41.57	961.5
"505"	"ADNP2"	41.68	1526.2
"506"	"ADO"	48.48	3760
"507"	"ADORA1"	48.14	1810.33333333333
"508"	"ADORA2A"	59.24	1222.06666666667
"509"	"ADORA2A-AS1"	46.81	1798.75
"510"	"ADORA2B"	49.86	1805
"511"	"ADORA2BP1"	50.36	842
"512"	"ADORA3"	39.38	1163
"513"	"ADPGK"	43.53	1448.64285714286
"514"	"ADPGK-AS1"	45.84	1995.66666666667
"515"	"ADPRH"	46.24	1987.57142857143
"516"	"ADPRHL1"	55.43	3454
"517"	"ADPRHL2"	55.11	1651
"518"	"ADPRM"	40.47	1255
"519"	"ADRA1A"	41.26	1915.63636363636
"520"	"ADRA1B"	43.93	1177
"521"	"ADRA1D"	51.78	1727
"522"	"ADRA2A"	59.71	3879
"523"	"ADRA2B"	61.15	3696
"524"	"ADRA2C"	69.62	1871
"525"	"ADRB1"	58.77	3039
"526"	"ADRB2"	51.18	3443
"527"	"ADRB3"	58.89	2104.5
"528"	"ADRM1"	64.09	1127
"529"	"ADSL"	44.97	1120.34782608696
"530"	"ADSS1"	60.75	1245.66666666667
"531"	"ADSS2"	38.09	1431.33333333333
"532"	"ADTRP"	43.46	1008.7
"533"	"AEBP1"	62.7	1419.55555555556
"534"	"AEBP2"	40.33	1977.11111111111
"535"	"AEN"	51.37	1932
"536"	"AFAP1"	46.39	3093.2
"537"	"AFAP1-AS1"	52.9	6126
"538"	"AFAP1L1"	46.21	2339
"539"	"AFAP1L2"	48.26	2287.83333333333
"540"	"AFDN"	38.79	3020.5
"541"	"AFDN-DT"	46.35	1535.75
"542"	"AFF1"	41.19	2764.33333333333
"543"	"AFF2"	38.84	6096
"544"	"AFF2-IT1"	40.77	443
"545"	"AFF3"	41.69	1880.11111111111
"546"	"AFF4"	40.42	2154.33333333333
"547"	"AFG1L"	39.14	1788.14285714286
"548"	"AFG3L1P"	50.98	1823.88235294118
"549"	"AFG3L2"	44.64	1900
"550"	"AFG3L2P1"	48.67	1763
"551"	"AFM"	36.25	1206.5
"552"	"AFMID"	51.08	814.8
"553"	"AFP"	34.51	964.428571428571
"554"	"AFTPH"	37.29	2832.85714285714
"555"	"AGA"	39.69	850.5
"556"	"AGAP1"	47.33	3847.5
"557"	"AGAP1-IT1"	50.66	664
"558"	"AGAP10P"	40.58	2418
"559"	"AGAP11"	41.97	3078
"560"	"AGAP12P"	40.43	2250
"561"	"AGAP13P"	39.12	363
"562"	"AGAP14P"	40.5	2060
"563"	"AGAP2"	57.66	3509.75
"564"	"AGAP2-AS1"	66.06	1500
"565"	"AGAP3"	57.73	1219.69230769231
"566"	"AGAP4"	41.11	1553.75
"567"	"AGAP5"	42.24	2025
"568"	"AGAP6"	41.1	2484.66666666667
"569"	"AGAP7P"	40.79	2062
"570"	"AGAP9"	40.48	2387
"571"	"AGBL1"	39.14	4070.6
"572"	"AGBL1-AS1"	38.9	1006.66666666667
"573"	"AGBL2"	44.9	1454.07142857143
"574"	"AGBL3"	36.82	1986.71428571429
"575"	"AGBL4"	39.05	1873.33333333333
"576"	"AGBL4-AS1"	39.09	566
"577"	"AGBL4-IT1"	37.06	514
"578"	"AGBL5"	48.47	1562.9
"579"	"AGBL5-AS1"	65.98	407
"580"	"AGBL5-IT1"	48.97	339
"581"	"AGER"	56.6525	1058.66666666667
"582"	"AGFG1"	37.09	2445.875
"583"	"AGFG2"	49.83	1970.6
"584"	"AGGF1"	39.02	1752.25
"585"	"AGGF1P1"	41.29	2073
"586"	"AGGF1P10"	41.44	2191
"587"	"AGGF1P2"	42.12	2106
"588"	"AGGF1P3"	37.43	1213
"589"	"AGGF1P4"	39.08	801
"590"	"AGGF1P5"	38.85	919
"591"	"AGGF1P6"	38.42	976
"592"	"AGGF1P7"	38.66	913
"593"	"AGGF1P8"	38.5	1000
"594"	"AGGF1P9"	38.23	913
"595"	"AGK"	39.5271428571429	1725.35714285714
"596"	"AGKP1"	44.81	1263
"597"	"AGL"	36.33	6227.57142857143
"598"	"AGMAT"	49.29	3095
"599"	"AGMO"	34.99	999.5
"600"	"AGO1"	44.84	6848
"601"	"AGO2"	51.18	2390.1
"602"	"AGO3"	38.75	4340.14285714286
"603"	"AGO4"	41.67	2697
"604"	"AGPAT1"	50.585	2027.9375
"605"	"AGPAT2"	62.71	1164.4
"606"	"AGPAT3"	51.65	2332.63157894737
"607"	"AGPAT4"	45.36	4001.16666666667
"608"	"AGPAT5"	38.19	1529
"609"	"AGPAT5P1"	40.33	1019
"610"	"AGPS"	36.49	2691.2
"611"	"AGR2"	38.42	727.714285714286
"612"	"AGR3"	35.18	570.25
"613"	"AGRN"	65.71	3589.8
"614"	"AGRP"	60.42	764
"615"	"AGT"	53.59	2116
"616"	"AGTPBP1"	36.66	2556.625
"617"	"AGTR1"	37.38	1885.77777777778
"618"	"AGTR2"	33.63	2862
"619"	"AGTRAP"	54.37	912.857142857143
"620"	"AGXT"	61.77	1769.75
"621"	"AGXT2"	42.33	1613
"622"	"AHCTF1"	38.75	5384.85714285714
"623"	"AHCY"	50.38	1510
"624"	"AHCYL1"	40.92	2143.5
"625"	"AHCYL2"	39.97	1664.83333333333
"626"	"AHCYP2"	54.92	1300
"627"	"AHCYP3"	54.18	1279
"628"	"AHCYP4"	56.2	1315
"629"	"AHCYP5"	53.96	1238
"630"	"AHCYP7"	53.67	1308
"631"	"AHCYP8"	52.63	209
"632"	"AHDC1"	56.39	2654.82352941176
"633"	"AHI1"	36.31	2151.11764705882
"634"	"AHNAK"	50.05	2948.75
"635"	"AHNAK2"	57.29	7826.66666666667
"636"	"AHR"	36.63	2814.85714285714
"637"	"AHRR"	51.6930769230769	1427.61538461538
